Date,Open,High,Low,Close,Adj Close,Volume
2007-12-31,6.670000,6.750000,6.650000,6.730000,3.827201,25845200
2008-01-02,6.730000,6.770000,6.510000,6.600000,3.753272,33239700
2008-01-03,6.660000,6.660000,6.410000,6.450000,3.667970,47186200
2008-01-04,6.380000,6.380000,6.000000,6.130000,3.485995,57781000
2008-01-07,6.210000,6.300000,6.100000,6.160000,3.503054,47007600
2008-01-08,6.250000,6.350000,6.090000,6.100000,3.468933,47965400
2008-01-09,6.110000,6.140000,5.760000,6.070000,3.451873,77760600
2008-01-10,6.000000,6.300000,5.840000,6.250000,3.554235,61641000
2008-01-11,6.180000,6.240000,6.050000,6.060000,3.446186,33524900
2008-01-14,6.120000,6.210000,6.090000,6.180000,3.514429,29713800
2008-01-15,6.120000,6.120000,5.910000,5.970000,3.395005,42666300
2008-01-16,6.020000,6.020000,5.810000,5.860000,3.332450,64534200
2008-01-17,5.920000,5.920000,5.680000,5.760000,3.275584,77878800
2008-01-18,5.810000,6.000000,5.800000,5.920000,3.366571,58894100
2008-01-22,5.530000,6.030000,5.500000,5.930000,3.372259,78467900
2008-01-23,5.830000,6.310000,5.740000,6.300000,3.582669,74051800
2008-01-24,6.400000,6.400000,6.110000,6.260000,3.559923,65537100
2008-01-25,6.310000,6.700000,6.310000,6.580000,3.741898,87012300
2008-01-28,6.500000,6.780000,6.410000,6.670000,3.793080,46709100
2008-01-29,6.800000,6.800000,6.560000,6.690000,3.804453,41276000
2008-01-30,6.670000,6.940000,6.630000,6.750000,3.838575,37156000
2008-01-31,6.680000,6.750000,6.580000,6.640000,3.776020,48116800
2008-02-01,6.690000,6.900000,6.600000,6.850000,3.895442,37890900
2008-02-04,6.850000,6.930000,6.650000,6.680000,3.798766,36825300
2008-02-05,6.600000,6.620000,6.350000,6.430000,3.656598,36157300
2008-02-06,6.360000,6.420000,6.250000,6.310000,3.588356,39376500
2008-02-07,6.260000,6.300000,6.070000,6.170000,3.508741,56865700
2008-02-08,6.140000,6.180000,6.010000,6.080000,3.457559,32818300
2008-02-11,6.110000,6.510000,6.040000,6.390000,3.633851,53746200
2008-02-12,6.360000,6.730000,6.340000,6.460000,3.673658,59226700
2008-02-13,6.520000,6.620000,6.480000,6.580000,3.741898,28887800
2008-02-14,6.560000,6.590000,6.430000,6.460000,3.673658,24904700
2008-02-15,6.440000,6.470000,6.360000,6.450000,3.667970,22710900
2008-02-19,6.500000,6.580000,6.420000,6.480000,3.685031,29039100
2008-02-20,6.430000,6.450000,6.350000,6.410000,3.645223,24628900
2008-02-21,6.420000,6.440000,6.130000,6.230000,3.542861,56458700
2008-02-22,6.240000,6.260000,6.040000,6.250000,3.554235,31300300
2008-02-25,6.260000,6.510000,6.160000,6.460000,3.673658,32971600
2008-02-26,6.440000,6.550000,6.330000,6.520000,3.707778,31167600
2008-02-27,6.490000,6.600000,6.400000,6.600000,3.753272,39084400
2008-02-28,6.530000,6.680000,6.520000,6.620000,3.764646,42080700
2008-02-29,6.570000,6.620000,6.490000,6.530000,3.713465,47435500
2008-03-03,6.420000,6.420000,6.120000,6.180000,3.514429,44365300
2008-03-04,6.100000,6.190000,6.020000,6.130000,3.485995,38992800
2008-03-05,6.170000,6.230000,6.040000,6.120000,3.480307,37409900
2008-03-06,6.080000,6.110000,5.910000,5.940000,3.377946,34544500
2008-03-07,5.880000,6.020000,5.720000,5.780000,3.286957,43806100
2008-03-10,5.850000,6.000000,5.580000,5.600000,3.184595,48615900
2008-03-11,5.740000,5.930000,5.560000,5.900000,3.355198,75303100
2008-03-12,5.890000,5.910000,5.660000,5.700000,3.241462,60198600
2008-03-13,5.640000,5.640000,5.120000,5.390000,3.065173,125528200
2008-03-14,5.450000,5.490000,5.250000,5.290000,3.008304,80501600
2008-03-17,5.020000,5.260000,4.950000,5.110000,2.905943,69811300
2008-03-18,5.320000,5.420000,5.030000,5.290000,3.008304,76802800
2008-03-19,5.390000,5.540000,5.270000,5.450000,3.099294,71480800
2008-03-20,5.510000,5.730000,5.290000,5.620000,3.195967,175819300
2008-03-24,5.690000,6.020000,5.680000,5.960000,3.389318,55202100
2008-03-25,6.030000,6.100000,5.860000,6.000000,3.412065,56608700
2008-03-26,6.090000,6.090000,5.830000,5.870000,3.338137,57327500
2008-03-27,5.930000,5.960000,5.750000,5.830000,3.315390,61712900
2008-03-28,5.890000,5.900000,5.580000,5.590000,3.178908,39674800
2008-03-31,5.600000,5.760000,5.600000,5.720000,3.252836,42293600
2008-04-01,5.770000,5.980000,5.770000,5.970000,3.395005,55328600
2008-04-02,5.950000,6.330000,5.930000,6.130000,3.485995,65244500
2008-04-03,6.070000,6.460000,6.050000,6.460000,3.673658,67737000
2008-04-04,6.430000,6.520000,6.200000,6.490000,3.690717,66864300
2008-04-07,6.750000,6.870000,6.600000,6.730000,3.827201,70070200
2008-04-08,6.690000,7.020000,6.670000,6.910000,3.929561,111095900
2008-04-09,6.940000,7.000000,6.650000,6.720000,3.821514,55195300
2008-04-10,6.720000,6.820000,6.600000,6.740000,3.832886,47465800
2008-04-11,6.590000,6.780000,6.570000,6.690000,3.804453,46402300
2008-04-14,6.690000,6.830000,6.690000,6.780000,3.855634,39533200
2008-04-15,6.830000,6.910000,6.670000,6.880000,3.912503,44831300
2008-04-16,6.950000,7.210000,6.920000,7.190000,4.088792,63447600
2008-04-17,7.140000,7.310000,7.080000,7.260000,4.128598,64796500
2008-04-18,7.320000,7.500000,7.310000,7.450000,4.236649,95216500
2008-04-21,7.500000,7.770000,7.460000,7.730000,4.395878,75387200
2008-04-22,7.700000,7.860000,7.520000,7.650000,4.350385,63315800
2008-04-23,7.760000,7.830000,7.360000,7.520000,4.276456,83811800
2008-04-24,8.020000,8.790000,7.810000,8.400000,4.776892,241760600
2008-04-25,8.200000,8.230000,7.490000,7.500000,4.265082,227269800
2008-04-28,8.150000,8.420000,8.100000,8.210000,4.668841,170511600
2008-04-29,8.220000,8.380000,8.080000,8.120000,4.617662,63074800
2008-04-30,8.210000,8.420000,8.170000,8.260000,4.697278,66520600
2008-05-01,8.280000,8.540000,8.220000,8.480000,4.822385,63141600
2008-05-02,8.550000,8.680000,8.150000,8.270000,4.702963,75407700
2008-05-05,8.270000,8.380000,8.160000,8.330000,4.737084,38431100
2008-05-06,8.270000,8.300000,8.190000,8.270000,4.702963,37921000
2008-05-07,8.280000,8.310000,7.910000,7.960000,4.526674,58838400
2008-05-08,8.050000,8.220000,7.900000,8.200000,4.663156,48454700
2008-05-09,8.200000,8.330000,8.050000,8.100000,4.606289,41043900
2008-05-12,8.170000,8.220000,8.120000,8.150000,4.634723,28652500
2008-05-13,8.160000,8.290000,8.150000,8.230000,4.680216,38192700
2008-05-14,8.250000,8.370000,8.110000,8.140000,4.629037,36193900
2008-05-15,8.180000,8.240000,8.100000,8.170000,4.646096,42720400
2008-05-16,8.210000,8.250000,8.030000,8.110000,4.611974,41263300
