Date,Open,High,Low,Close,Adj Close,Volume
2007-12-31,76.930000,76.930000,75.750000,75.900002,47.301853,3707600
2008-01-02,76.410004,76.410004,74.709999,75.290001,46.921711,4899100
2008-01-03,75.389999,76.839996,75.290001,75.779999,47.227108,4728400
2008-01-04,75.290001,76.400002,75.290001,75.550003,47.083752,5493200
2008-01-07,75.860001,77.440002,75.699997,77.320000,48.186840,7584800
2008-01-08,77.849998,78.989998,77.169998,77.940002,48.573223,7153800
2008-01-09,78.000000,79.320000,77.980003,78.739998,49.071789,9288800
2008-01-10,78.739998,79.790001,78.220001,79.570000,49.589058,7874900
2008-01-11,79.010002,79.169998,76.690002,77.779999,48.473515,8061200
2008-01-14,78.250000,78.389999,76.650002,76.919998,47.937572,7762500
2008-01-15,76.019997,76.550003,74.709999,74.830002,46.635044,9342100
2008-01-16,74.349998,74.849998,73.279999,73.540001,45.831074,9636900
2008-01-17,73.699997,73.699997,71.839996,72.099998,44.933655,10016800
2008-01-18,72.540001,73.160004,70.949997,71.459999,44.534790,8986000
2008-01-22,68.000000,70.000000,67.370003,69.440002,43.275906,14039600
2008-01-23,68.510002,70.919998,67.709999,70.500000,43.936520,12136600
2008-01-24,70.290001,70.669998,69.550003,69.730003,43.456657,8466700
2008-01-25,69.870003,70.480003,68.699997,68.919998,42.951847,8446300
2008-01-28,68.949997,70.309998,68.610001,70.269997,43.793186,6940700
2008-01-29,70.260002,70.570000,68.300003,68.629997,42.771122,9401000
2008-01-30,68.120003,68.760002,67.199997,67.389999,41.998329,8292500
2008-01-31,67.150002,68.489998,66.300003,68.050003,42.409672,13195200
2008-02-01,68.339996,69.080002,67.980003,68.830002,42.895760,7728300
2008-02-04,68.849998,69.339996,68.529999,69.220001,43.138821,5598600
2008-02-05,68.139999,68.639999,67.410004,67.949997,42.347336,8681400
2008-02-06,68.379997,68.379997,66.320000,66.730003,41.587006,14149600
2008-02-07,68.699997,70.529999,67.800003,70.410004,43.880432,15291100
2008-02-08,70.379997,70.559998,69.500000,69.809998,43.506504,6044800
2008-02-11,69.930000,71.199997,69.300003,70.959999,44.223190,6934800
2008-02-12,71.309998,72.239998,70.959999,71.959999,44.846413,6635300
2008-02-13,72.370003,72.750000,71.419998,71.629997,44.640755,6603300
2008-02-14,71.790001,72.139999,71.199997,71.570000,44.603359,7899600
2008-02-15,71.500000,71.769997,71.169998,71.730003,44.703083,5963300
2008-02-19,72.500000,72.500000,71.089996,71.139999,44.335384,4920800
2008-02-20,71.959999,71.959999,70.099998,71.120003,44.322922,5848300
2008-02-21,71.500000,71.680000,70.830002,71.080002,44.297981,5531400
2008-02-22,71.389999,71.489998,70.540001,71.379997,44.484951,4771900
2008-02-25,71.330002,71.930000,70.959999,71.589996,44.615829,4681000
2008-02-26,71.110001,71.559998,70.910004,71.330002,44.453812,4673000
2008-02-27,71.010002,71.720001,71.010002,71.199997,44.372776,4520400
2008-02-28,71.209999,71.209999,70.349998,71.059998,44.285526,4804800
2008-02-29,70.419998,70.669998,69.349998,69.559998,43.350708,5893400
2008-03-03,69.550003,70.250000,69.169998,70.169998,43.730858,5024400
2008-03-04,69.320000,70.360001,69.320000,70.040001,43.649841,5965200
2008-03-05,70.330002,70.720001,69.000000,70.279999,44.035187,6690200
2008-03-06,70.000000,70.900002,69.959999,70.120003,43.934940,6138800
2008-03-07,69.839996,70.309998,69.290001,69.589996,43.602852,7205600
2008-03-10,69.790001,69.790001,68.830002,69.019997,43.245697,4702000
2008-03-11,70.430000,70.430000,68.980003,69.949997,43.828419,7215600
2008-03-12,69.970001,70.320000,69.400002,69.559998,43.584072,6049100
2008-03-13,68.629997,69.739998,68.260002,69.239998,43.383545,6734000
2008-03-14,69.750000,69.750000,68.029999,68.449997,42.888557,7798000
2008-03-17,68.000000,70.050003,67.949997,69.150002,43.327152,9426100
2008-03-18,70.320000,70.360001,69.169998,70.019997,43.872280,7871800
2008-03-19,70.000000,71.500000,69.730003,70.180000,43.972527,6252600
2008-03-20,70.500000,71.419998,70.000000,71.190002,44.605370,7360200
2008-03-24,71.400002,71.919998,70.860001,71.449997,44.768265,4580400
2008-03-25,71.500000,72.209999,71.190002,71.540001,44.824673,4777300
2008-03-26,71.309998,71.750000,71.059998,71.160004,44.586571,3740700
2008-03-27,71.440002,71.900002,70.940002,71.190002,44.605370,5078000
2008-03-28,71.400002,72.000000,71.400002,71.559998,44.837189,3770100
2008-03-31,71.800003,72.349998,71.279999,72.199997,45.238190,6499000
2008-04-01,71.889999,72.169998,71.040001,72.129997,45.194328,6937200
2008-04-02,71.699997,71.930000,71.239998,71.419998,44.749462,5123100
2008-04-03,71.059998,71.900002,71.059998,71.400002,44.736938,4699100
2008-04-04,71.500000,72.120003,71.300003,71.529999,44.818405,4569600
2008-04-07,71.910004,72.059998,71.150002,71.860001,45.025166,5689100
2008-04-08,71.400002,71.690002,71.129997,71.279999,44.661743,5376700
2008-04-09,71.180000,71.330002,70.620003,70.970001,44.467495,4305200
2008-04-10,70.839996,72.080002,70.739998,71.699997,44.924927,6035600
2008-04-11,71.690002,71.830002,71.110001,71.400002,44.736938,4302000
2008-04-14,71.400002,71.870003,70.919998,70.949997,44.454983,4760600
2008-04-15,71.250000,71.459999,70.779999,71.220001,44.624149,3739900
2008-04-16,71.680000,71.680000,70.389999,71.110001,44.555241,7591500
2008-04-17,70.769997,71.279999,70.370003,70.769997,44.342209,4670800
2008-04-18,71.550003,71.589996,69.860001,70.599998,44.235687,8110400
2008-04-21,70.089996,70.769997,69.830002,69.900002,43.797089,5314300
2008-04-22,69.739998,69.849998,68.629997,69.099998,43.295841,7486600
2008-04-23,69.099998,69.970001,68.790001,69.190002,43.352242,7170900
2008-04-24,68.809998,69.589996,68.000000,68.000000,42.606621,10145400
2008-04-25,68.300003,68.349998,67.209999,67.620003,42.368519,8427200
2008-04-28,67.550003,68.699997,67.290001,68.160004,42.706863,8480400
2008-04-29,68.209999,68.500000,67.779999,68.199997,42.731930,4848400
2008-04-30,67.809998,69.389999,67.809998,68.529999,42.938702,6561300
2008-05-01,68.459999,68.750000,68.029999,68.500000,42.919899,5720900
2008-05-02,69.019997,69.820000,68.769997,69.099998,43.295841,7120600
2008-05-05,69.290001,69.720001,68.320000,68.570000,42.963760,5009700
2008-05-06,68.410004,68.720001,67.870003,68.570000,42.963760,5332800
2008-05-07,68.750000,69.120003,67.839996,68.010002,42.612892,6699700
2008-05-08,68.400002,68.419998,67.239998,67.540001,42.318386,6329100
2008-05-09,67.760002,67.910004,66.809998,67.510002,42.299595,5910300
2008-05-12,67.550003,67.709999,66.959999,67.349998,42.199356,5120000
2008-05-13,67.389999,67.680000,66.849998,67.250000,42.136688,5474000
2008-05-14,67.750000,67.980003,67.040001,67.099998,42.042686,6229800
2008-05-15,67.349998,68.339996,67.120003,68.070000,42.650475,6554900
2008-05-16,68.320000,68.440002,67.760002,67.870003,42.525162,7180400
2008-05-19,68.080002,68.120003,67.500000,68.029999,42.625401,5414300
2008-05-20,67.570000,67.959999,67.220001,67.459999,42.268276,6275400
2008-05-21,67.260002,68.209999,67.160004,67.269997,42.149220,6132400
2008-05-22,67.500000,68.669998,67.500000,68.379997,42.844707,6295400
2008-05-23,68.050003,68.379997,67.879997,68.260002,42.769505,5411500
2008-05-27,68.160004,69.099998,68.050003,69.010002,43.239437,6181400
2008-05-28,69.000000,69.000000,67.800003,67.930000,42.562748,6476300
2008-05-29,67.940002,69.040001,67.930000,68.830002,43.126656,4940100
2008-05-30,68.900002,68.900002,68.029999,68.300003,42.794582,5569800
2008-06-02,68.110001,68.220001,67.070000,67.550003,42.324657,7186500
2008-06-03,67.750000,67.750000,66.730003,67.050003,42.011368,6995200
2008-06-04,66.730003,67.050003,66.419998,66.669998,42.039745,5829400
2008-06-05,66.930000,67.349998,66.470001,67.290001,42.430695,5918000
2008-06-06,66.870003,67.040001,65.449997,65.519997,41.314587,9734200
2008-06-09,65.919998,65.919998,64.690002,65.370003,41.220009,9046500
2008-06-10,65.290001,68.269997,65.290001,67.580002,42.613548,10358400
2008-06-11,67.349998,68.050003,67.220001,67.489998,42.556812,7947600
2008-06-12,67.839996,68.230003,67.300003,67.949997,42.846874,6566500
2008-06-13,67.959999,68.199997,66.730003,67.540001,42.588348,8322000
2008-06-16,67.010002,67.760002,65.250000,66.040001,41.642483,10057000
2008-06-17,66.250000,66.570000,65.540001,65.870003,41.535294,7633100
2008-06-18,65.800003,65.830002,65.019997,65.059998,41.024532,8905200
2008-06-19,65.129997,66.230003,64.949997,65.889999,41.547913,6146200
2008-06-20,65.750000,66.110001,64.910004,65.080002,41.037148,10181400
2008-06-23,65.230003,65.309998,64.370003,64.629997,40.753387,5723600
2008-06-24,64.519997,64.779999,63.310001,64.019997,40.368744,6919200
2008-06-25,64.129997,65.919998,64.129997,65.519997,41.314587,8838600
2008-06-26,64.680000,65.669998,64.680000,64.769997,40.841679,8014500
2008-06-27,64.959999,65.370003,63.830002,63.930000,40.311985,9890300
2008-06-30,64.320000,64.769997,63.400002,63.590000,40.097603,9260200
2008-07-01,63.279999,64.529999,63.279999,64.400002,40.608368,9900000
2008-07-02,64.510002,65.989998,64.449997,65.760002,41.465931,9356000
2008-07-03,65.709999,66.910004,65.709999,66.769997,42.102802,5571800
2008-07-07,66.720001,67.000000,66.089996,66.620003,42.008213,7867700
2008-07-08,66.410004,66.800003,65.589996,65.830002,41.510063,9145000
2008-07-09,65.989998,66.160004,65.089996,65.349998,41.207397,6353300
2008-07-10,65.500000,65.739998,64.769997,65.589996,41.358738,6384100
2008-07-11,65.010002,65.349998,63.939999,64.660004,40.772312,9117700
2008-07-14,65.150002,65.519997,64.309998,64.910004,40.929951,6182300
2008-07-15,64.360001,65.849998,64.129997,65.570000,41.346123,8423500
2008-07-16,65.769997,66.129997,65.050003,66.089996,41.674023,5708600
2008-07-17,66.489998,66.489998,64.349998,65.529999,41.320911,10344500
2008-07-18,65.449997,65.739998,64.809998,65.410004,41.245235,7075900
2008-07-21,65.800003,65.800003,64.260002,64.449997,40.639893,5265100
2008-07-22,64.620003,66.360001,64.120003,66.190002,41.737064,8881400
2008-07-23,66.489998,67.860001,65.510002,67.720001,42.701824,9255900
2008-07-24,67.849998,68.019997,66.940002,67.400002,42.500053,5342500
2008-07-25,67.750000,67.940002,66.730003,67.220001,42.386566,9276000
2008-07-28,67.209999,67.300003,66.290001,66.709999,42.064983,4495300
2008-07-29,66.750000,67.250000,66.540001,66.980003,42.235226,8205700
2008-07-30,67.250000,67.629997,66.570000,66.910004,42.191071,7876800
2008-07-31,66.800003,67.430000,66.419998,66.559998,41.970398,7317600
2008-08-01,66.820000,67.400002,66.360001,66.629997,42.014534,7640100
2008-08-04,66.709999,67.949997,66.629997,67.669998,42.670307,9717000
2008-08-05,67.980003,68.790001,67.570000,68.519997,43.206284,12080000
2008-08-06,68.459999,68.540001,67.959999,68.540001,43.218903,5151400
2008-08-07,68.449997,68.500000,67.800003,67.949997,42.846874,5769500
2008-08-08,67.940002,69.459999,67.849998,69.349998,43.729664,8564700
2008-08-11,69.349998,69.480003,68.760002,69.269997,43.679226,6004500
2008-08-12,69.400002,69.849998,68.949997,69.620003,43.899910,5342300
2008-08-13,69.349998,70.129997,69.209999,69.739998,43.975574,6085800
2008-08-14,69.769997,70.830002,69.129997,69.940002,44.101692,5605200
2008-08-15,70.199997,70.430000,69.769997,70.199997,44.265640,5637500
2008-08-18,70.459999,70.650002,69.550003,69.809998,44.019726,4405300
2008-08-19,69.400002,70.489998,69.230003,70.099998,44.202572,6164700
2008-08-20,70.370003,70.370003,69.400002,69.849998,44.044937,4082700
2008-08-21,69.510002,69.660004,68.650002,69.389999,43.754887,5647400
2008-08-22,69.559998,70.199997,69.389999,69.900002,44.076481,3392300
2008-08-25,69.599998,69.900002,68.750000,69.050003,43.540497,3999000
2008-08-26,69.150002,69.309998,68.459999,68.699997,43.319786,4386200
2008-08-27,68.580002,69.209999,68.260002,69.199997,43.635078,2960100
2008-08-28,69.370003,69.459999,68.879997,69.190002,43.628773,3326100
2008-08-29,69.180000,69.480003,68.430000,68.480003,43.181084,4206100
2008-09-02,68.889999,70.550003,68.860001,69.459999,43.799023,6397600
2008-09-03,68.949997,69.300003,68.480003,69.190002,43.897362,5213300
2008-09-04,68.989998,69.830002,68.300003,68.389999,43.389790,5859800
2008-09-05,68.139999,69.150002,68.139999,68.919998,43.726051,6165000
2008-09-08,69.220001,70.529999,69.220001,70.339996,44.626968,6948600
2008-09-09,69.970001,71.379997,69.970001,71.000000,45.045696,11337400
2008-09-10,71.260002,71.989998,70.419998,71.830002,45.572315,10297000
2008-09-11,71.529999,72.690002,71.029999,72.620003,46.073517,8129000
2008-09-12,72.220001,73.199997,72.059998,73.150002,46.409771,6930500
2008-09-15,72.080002,73.559998,72.080002,72.349998,45.902214,9174500
2008-09-16,71.410004,73.199997,71.410004,72.980003,46.301914,11410800
2008-09-17,72.629997,73.500000,71.529999,71.680000,45.477131,13533800
2008-09-18,71.980003,74.269997,71.529999,73.230003,46.460533,13124400
2008-09-19,73.629997,75.250000,72.320000,73.190002,46.435146,14671500
2008-09-22,72.919998,73.190002,70.809998,71.080002,45.096466,7445600
