Date,Open,High,Low,Close,Adj Close,Volume
2007-12-31,15.946667,16.026667,15.776667,15.843333,11.087360,36529200
2008-01-02,15.803333,15.876667,15.486667,15.633333,10.940401,59755800
2008-01-03,15.573333,15.633333,15.410000,15.460000,10.819101,59403000
2008-01-04,15.303333,15.456667,15.123333,15.240000,10.665141,61053600
2008-01-07,15.266667,15.603333,15.196667,15.520000,10.861094,60979500
2008-01-08,15.530000,15.693333,15.293333,15.323333,10.723458,57051300
2008-01-09,15.323333,15.666667,15.080000,15.633333,10.940401,81592800
2008-01-10,15.700000,16.256666,15.700000,16.133333,11.290305,107084400
2008-01-11,16.020000,16.203333,15.833333,15.906667,11.131680,84555000
2008-01-14,15.993333,15.993333,14.370000,15.890000,11.120023,61687800
2008-01-15,15.663333,15.810000,15.590000,15.663333,10.961396,73440300
2008-01-16,15.560000,16.016666,15.560000,15.830000,11.078032,75972900
2008-01-17,15.850000,15.976667,15.700000,15.826667,11.075697,83734200
2008-01-18,15.963333,16.170000,15.806667,15.860000,11.099026,101128200
2008-01-22,15.490000,16.510000,15.363333,16.400000,11.476925,135385500
2008-01-23,16.166668,16.786667,16.103333,16.719999,11.700862,151266600
2008-01-24,16.736668,16.746668,16.160000,16.303333,11.409274,107149500
2008-01-25,16.363333,16.420000,15.996667,16.030001,11.217995,74927100
2008-01-28,16.020000,16.260000,15.966667,16.236668,11.362619,70322700
2008-01-29,16.366667,16.396667,16.043333,16.336666,11.432600,65224500
2008-01-30,16.266666,16.666668,16.166668,16.386667,11.467594,73460100
2008-01-31,16.283333,17.100000,16.243334,16.913334,11.836165,138653700
2008-02-01,16.966667,17.160000,16.770000,17.059999,11.938801,77237400
2008-02-04,17.000000,17.083332,16.610001,16.690001,11.679873,60963900
2008-02-05,16.486668,16.886667,16.486668,16.520000,11.560904,85211100
2008-02-06,16.533333,16.676666,16.170000,16.276667,11.390612,85476900
2008-02-07,15.950000,16.666668,15.946667,16.613333,11.626216,108858600
2008-02-08,16.556667,16.700001,16.213333,16.253332,11.374284,67626900
2008-02-11,16.280001,16.559999,16.113333,16.533333,11.570230,64658700
2008-02-12,16.493334,16.906668,16.493334,16.750000,11.721859,70102200
2008-02-13,16.873333,17.003332,16.740000,16.886667,11.817500,48235800
2008-02-14,16.860001,16.966667,16.586666,16.656668,11.656540,54035700
2008-02-15,16.559999,16.666668,16.370001,16.480000,11.532908,77497500
2008-02-19,16.700001,16.773333,16.433332,16.553333,11.584226,66081600
2008-02-20,16.433332,16.656668,16.336666,16.566668,11.593561,65030400
2008-02-21,16.616667,16.743334,16.533333,16.596666,11.614556,67199100
2008-02-22,16.633333,16.733334,16.490000,16.656668,11.656540,58556700
2008-02-25,16.730000,16.799999,16.566668,16.776667,11.740519,76609200
2008-02-26,16.730000,17.160000,16.730000,17.133333,11.990118,93085800
2008-02-27,16.996668,17.190001,16.973333,17.143333,11.997115,87573900
2008-02-28,17.043333,17.133333,16.876667,16.900000,11.826827,55191000
2008-02-29,16.793333,16.889999,16.510000,16.530001,11.567899,60658200
2008-03-03,16.476667,16.673332,16.406668,16.629999,11.637880,59256300
2008-03-04,16.576668,16.673332,16.540001,16.623333,11.633213,74967300
2008-03-05,16.653334,16.730000,16.420000,16.516666,11.558570,68984400
2008-03-06,16.746668,16.799999,16.616667,16.660000,11.658875,82549200
2008-03-07,16.559999,16.913334,16.559999,16.633333,11.640214,73038900
2008-03-10,16.666668,16.666668,16.213333,16.283333,11.395281,72975900
2008-03-11,16.616667,16.796667,16.513332,16.750000,11.721859,85064100
2008-03-12,16.673332,16.906668,16.646667,16.763332,11.787013,78821100
2008-03-13,16.643333,16.889999,16.486668,16.866667,11.859677,89558700
2008-03-14,16.903334,16.903334,16.389999,16.606667,11.676855,82444200
2008-03-17,16.446667,16.799999,16.430000,16.650000,11.707324,66378300
2008-03-18,16.753332,17.003332,16.740000,16.993334,11.948738,79140000
2008-03-19,16.940001,17.150000,16.886667,16.926666,11.901860,77489700
2008-03-20,16.950001,17.830000,16.933332,17.743334,12.476097,133599900
2008-03-24,17.816668,18.049999,17.743334,17.876667,12.569847,66739200
2008-03-25,17.843332,17.903334,17.636667,17.683332,12.433908,60982500
2008-03-26,17.626667,17.799999,17.553333,17.633333,12.398753,57679200
2008-03-27,17.670000,17.740000,17.426666,17.456667,12.274529,56943900
2008-03-28,17.336666,17.556667,17.256666,17.373333,12.215932,45144000
2008-03-31,17.400000,17.703333,17.209999,17.559999,12.347183,58783200
2008-04-01,17.730000,18.053333,17.603333,18.026667,12.675319,72697800
